"날짜","종가","시가","고가","저가","변동 %"
"2018- 01- 01","121.58","123.98","124.00","121.33","-1.99%"
"2018- 02- 01","120.66","121.67","122.59","120.03","-0.76%"
"2018- 03- 01","121.14","120.69","121.30","119.69","0.40%"
"2018- 04- 01","119.62","121.03","121.38","118.97","-1.25%"
"2018- 05- 01","120.73","119.55","121.39","118.33","0.93%"
"2018- 06- 01","120.19","120.55","120.55","119.25","-0.45%"
"2018- 07- 01","119.42","120.12","120.62","119.25","-0.64%"
"2018- 08- 01","120.39","119.41","120.75","119.08","0.81%"
"2018- 09- 01","118.78","120.33","120.42","118.34","-1.34%"
"2018- 10- 01","118.44","118.72","119.19","117.42","-0.29%"
"2018- 11- 01","119.55","118.52","119.77","117.70","0.94%"
"2018- 12- 01","122.02","119.38","122.12","119.27","2.07%"
"2019- 01- 01","122.47","121.81","123.25","121.06","0.37%"
"2019- 02- 01","121.75","122.45","122.53","121.59","-0.59%"
"2019- 03- 01","124.22","121.72","124.97","121.31","2.03%"
"2019- 04- 01","123.67","124.16","124.17","122.64","-0.44%"
"2019- 05- 01","126.38","123.69","126.50","122.94","2.19%"
"2019- 06- 01","127.97","126.31","128.27","126.20","1.26%"
"2019- 07- 01","127.42","127.61","128.44","126.72","-0.43%"
"2019- 08- 01","131.05","127.50","131.61","127.14","2.85%"
"2019- 09- 01","130.31","131.25","131.72","128.06","-0.56%"
"2019- 10- 01","130.30","130.38","132.03","129.05","-0.01%"
"2019- 11- 01","129.30","130.27","130.48","127.98","-0.77%"
"2019- 12- 01","128.42","129.17","130.06","127.97","-0.68%"
"2020- 01- 01","131.66","128.30","131.83","128.16","2.52%"
"2020- 02- 01","134.84","131.86","134.98","130.22","2.42%"
"2020- 03- 01","138.69","135.03","140.70","134.48","2.86%"
"2020- 04- 01","139.06","138.80","139.69","137.50","0.27%"
"2020- 05- 01","139.38","138.97","139.66","138.27","0.23%"
"2020- 06- 01","139.17","139.45","139.53","137.12","-0.15%"
"2020- 07- 01","140.08","139.16","140.19","138.73","0.65%"
"2020- 08- 01","139.41","140.16","140.41","138.72","-0.48%"
"2020- 09- 01","139.53","139.34","140.02","139.19","0.09%"
"2020- 10- 01","138.22","139.47","139.78","138.11","-0.94%"
"2020- 11- 01","138.53","138.17","139.27","137.25","0.22%"
"2020- 12- 01","138.08","138.53","138.70","137.62","-0.32%"
"2021- 01- 01","137.03","137.97","138.17","136.03","-0.76%"
"2021- 02- 01","133.80","137.17","137.30","133.08","-2.36%"
"2021- 03- 01","130.94","134.27","134.84","130.81","-2.14%"
"2021- 04- 01","132.03","130.98","132.77","130.80","0.83%"
"2021- 05- 01","132.86","132.05","133.52","131.83","0.63%"
"2021- 06- 01","132.50","132.73","134.06","131.77","-0.27%"
"2021- 07- 01","134.45","132.31","135.22","132.19","1.47%"
"2021- 08- 01","134.05","134.53","135.44","133.30","-0.30%"
"2021- 09- 01","131.61","134.00","134.48","131.22","-1.82%"
"2021- 10- 01","130.70","131.89","132.27","129.97","-0.69%"
"2021- 11- 01","131.55","130.64","132.05","129.50","0.65%"
"2021- 12- 01","130.47","131.47","132.27","130.09","-0.82%"
"2022- 01- 01","127.97","130.33","130.34","127.06","-1.92%"
"2022- 02- 01","127.45","128.02","128.36","125.55","-0.41%"
"2022- 03- 01","122.88","127.50","129.06","120.95","-3.59%"
"2022- 04- 01","119.16","122.66","122.67","118.25","-3.03%"
"2022- 05- 01","119.84","118.75","120.97","117.27","0.57%"
"2022- 06- 01","118.39","118.39","118.39","118.39","-1.21%"
"2022- 07- 01","121.14","121.00","121.03","121.00","2.32%"
"2022- 08- 01","117.00","119.41","119.41","116.42","-3.42%"
"2022- 09- 01","112.38","116.31","117.00","110.94","-3.95%"
"2022- 10- 01","110.88","112.41","114.12","109.19","-1.33%"
"2022- 11- 01","113.50","111.00","114.16","109.69","2.36%"
"2022- 12- 01","112.89","114.38","116.19","112.55","-0.54%"
"2023- 01- 01","115.08","112.86","116.89","112.86","1.94%"
"2023- 02- 01","111.66","115.22","116.56","111.14","-2.97%"
"2023- 03- 01","115.61","111.78","117.78","110.86","3.54%"
"2023- 04- 01","116.02","115.50","117.59","114.69","0.35%"
"2023- 05- 01","114.47","116.16","117.80","112.92","-1.34%"
"2023- 06- 01","113.02","113.63","114.97","112.41","-1.27%"
